City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Luderitz,NA,-26.65,15.16,54.32,81,0,5.12,clear sky
284,West Bay,KY,19.37,-81.42,87.8,74,20,5.82,few clouds
285,Krasnokholm,RU,51.6,54.16,71.02,35,90,6.98,overcast clouds
286,Kenai,US,60.55,-151.26,64.4,63,1,6.93,clear sky
287,Caramay,PH,10.18,119.24,83.08,74,70,1.36,broken clouds
288,Parkersburg,US,39.27,-81.56,82.4,69,20,6.93,few clouds
289,La Orilla,MX,17.98,-102.23,81.99,78,40,12.03,scattered clouds
290,Gunnedah,AU,-30.98,150.25,57.2,58,0,3.36,clear sky
291,Vao,NC,-22.67,167.48,68.59,79,94,20.78,overcast clouds
292,Westport,US,41.14,-73.36,80.6,69,75,10.29,broken clouds
293,Padang,ID,-0.95,100.35,77.74,76,99,3.18,overcast clouds
294,Quesnel,CA,53.0,-122.5,59.0,82,75,6.93,broken clouds
295,Carpinteria,US,34.4,-119.52,88.0,35,0,3.0,clear sky
296,Kishtwar,IN,33.32,75.77,59.0,62,2,3.31,clear sky
297,Yellowknife,CA,62.46,-114.35,55.4,66,90,10.29,overcast clouds
298,Taoudenni,ML,22.68,-3.98,97.25,9,0,11.74,clear sky
299,Whitehorse,CA,60.72,-135.05,48.99,87,75,1.9,light rain
300,Hornepayne,CA,49.21,-84.77,61.32,74,100,4.41,overcast clouds
301,Acara,BR,-1.96,-48.2,74.23,97,83,2.62,broken clouds
302,Narrabri,AU,-30.32,149.78,63.0,44,0,4.7,clear sky
303,Vanersborg,SE,58.38,12.32,53.6,87,100,11.41,overcast clouds
304,Lat Yao,TH,15.75,99.79,77.43,79,78,1.57,broken clouds
305,Adre,TD,13.47,22.2,71.47,82,99,2.51,light rain
306,Preobrazheniye,RU,42.9,133.91,67.84,92,79,16.82,light rain
307,Arman,RU,59.7,150.17,55.67,48,93,13.2,overcast clouds
308,Caninde De Sao Francisco,BR,-9.66,-37.79,70.29,83,74,8.68,broken clouds
309,Nelson Bay,AU,-32.72,152.15,62.01,58,0,9.17,clear sky
310,Idlib,SY,35.93,36.63,78.8,83,0,10.29,clear sky
311,Ossora,RU,59.24,163.07,51.84,77,93,14.94,light rain
312,Sao Filipe,CV,14.9,-24.5,80.4,81,90,3.74,moderate rain
313,Ahipara,NZ,-35.17,173.17,61.83,63,1,8.61,clear sky
314,Ayan,RU,56.45,138.17,60.12,52,0,11.92,clear sky
315,Cauquenes,CL,-35.97,-72.32,46.35,92,100,8.77,light rain
316,Hasaki,JP,35.73,140.83,88.0,74,20,5.82,few clouds
317,Hurricane,US,37.18,-113.29,100.99,12,7,8.01,clear sky
318,Matay,EG,28.42,30.78,76.71,66,0,12.53,clear sky
319,Ilebo,CD,-4.32,20.58,73.49,77,50,1.99,scattered clouds
320,Pevek,RU,69.7,170.31,40.57,87,71,1.39,broken clouds
321,Eugene,US,44.05,-123.09,87.8,23,1,13.87,clear sky
322,Grammichele,IT,37.21,14.64,75.99,60,0,4.7,clear sky
323,Kells,IE,53.73,-6.88,48.99,87,20,12.75,few clouds
324,Brainerd,US,46.36,-94.2,71.6,64,20,12.75,few clouds
325,Anori,BR,-3.77,-61.64,77.29,81,94,2.28,light rain
326,Bonthe,SL,7.53,-12.51,76.32,88,100,9.37,light rain
327,Fayaoue,NC,-20.65,166.53,72.5,87,66,23.64,broken clouds
328,Barra Patuca,HN,15.8,-84.28,82.31,80,74,9.57,light rain
329,Roald,NO,62.58,6.13,55.4,76,2,16.11,clear sky
330,Okhotsk,RU,59.38,143.3,55.71,60,55,6.38,light rain
331,Lasa,IT,46.62,10.7,61.0,100,75,6.93,moderate rain
332,Guerrero Negro,MX,27.98,-114.06,83.05,56,0,16.71,clear sky
333,Syzran,RU,53.16,48.47,62.22,85,67,4.54,broken clouds
334,Tigzirt,DZ,36.89,4.12,80.76,44,0,3.74,clear sky
335,Miranda,CO,3.25,-76.23,77.0,65,75,9.17,broken clouds
336,Velyka Oleksandrivka,UA,47.32,33.3,62.37,60,0,2.48,clear sky
337,Rundu,NA,-17.93,19.77,66.15,33,65,2.19,broken clouds
338,Eston,CA,51.15,-108.75,75.2,27,75,13.87,broken clouds
339,Saint Anthony,US,45.02,-93.22,79.0,57,20,11.41,few clouds
340,Dajabon,DO,19.55,-71.71,82.99,80,10,1.99,clear sky
341,Alofi,NU,-19.06,-169.92,80.6,61,89,21.92,overcast clouds
342,Pilar,BR,-9.6,-35.96,73.4,88,20,3.36,few clouds
343,Zyryanka,RU,65.75,150.85,46.13,73,98,8.1,overcast clouds
344,San Carlos De Bariloche,AR,-41.15,-71.31,33.8,64,20,12.75,few clouds
345,Sibolga,ID,1.74,98.78,76.19,81,94,3.0,overcast clouds
346,Ullapool,GB,57.9,-5.16,48.99,89,31,1.01,scattered clouds
347,Menongue,AO,-14.66,17.69,61.52,46,40,3.22,scattered clouds
348,Pangnirtung,CA,66.15,-65.71,49.91,54,0,3.24,clear sky
349,Hamilton,US,39.18,-84.53,79.0,88,1,3.36,clear sky
