City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Vila Franca Do Campo,PT,73.4,few clouds,37.72,-25.43,Pestana Bahia Praia
555,Khetri,IN,79.57,few clouds,27.98,75.8,Abhay Gad Hotel 7star
558,Pindiga,NG,71.47,overcast clouds,9.98,10.93,Accommodation Center
559,Palma,ES,78.01,few clouds,39.57,2.65,Hotel Saratoga
561,Samarai,PG,78.71,moderate rain,-10.62,150.67,Nuli Sapi
565,Kulhudhuffushi,MV,82.47,clear sky,6.62,73.07,Haajy Guest House 1
576,Port Keats,AU,80.49,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
577,Cam Ranh,VN,84.2,overcast clouds,11.92,109.16,OYO 598 Peony Hotel
578,Marrakesh,MA,73.4,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
579,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.17,Hotel Cortez
584,Mareeba,AU,73.99,few clouds,-17.0,145.43,Trinity Plains Tourist Park
585,Sucua,EC,71.6,scattered clouds,-2.47,-78.17,Hotel Barza
586,Shahpur,IN,72.81,overcast clouds,16.7,76.83,Sai Deluxe Shahapur
588,Arlit,NE,80.98,light rain,18.74,7.39,Hôtel Telwa Bungalow
591,Yenagoa,NG,73.81,light rain,4.92,6.26,Amba Hotels Limited
594,Soyo,AO,72.25,overcast clouds,-6.13,12.37,Hotel Mpampa
600,Carlisle,US,73.0,light rain,40.2,-77.19,Fairfield Inn & Suites by Marriott Carlisle
602,Narasannapeta,IN,78.12,scattered clouds,18.42,84.05,G.lingaraju home
603,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
606,Rosetta,EG,78.8,clear sky,31.4,30.42,Green Valley
608,Teguise,ES,73.4,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
610,Buraydah,SA,84.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
612,Chakia,IN,80.2,light rain,26.42,85.05,Rajeev
613,Puerto Ayacucho,VE,82.4,scattered clouds,5.66,-67.62,Posada Turistica Manapiare
615,Sao Jose Da Coroa Grande,BR,74.46,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
616,Laurel,US,77.0,moderate rain,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
618,Madison,US,75.0,heavy intensity rain,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
619,Kandrian,PG,83.21,overcast clouds,-6.22,149.55,Kandrian Station
